Dataset,Modality,Method,Stage,Fold,Accuracy,Positive F1,Precision,Recall,Macro-F1,Negative F1,AUROC,Support Negative,Support Positive,Confusion Matrix,Invalid Qwen Outputs,Fold Coverage,Protocol
daic,audio_text,xgb_optuna,cv,pooled,0.7535211267605634,0.5454545454545454,0.6,0.5,0.6881862099253404,0.8309178743961353,0.710952380952381,100,42,"[[86, 14], [21, 21]]",0,5,symmetric_merged_cv_pooled
turkish,audio_text,logreg,cv,pooled,0.65,0.7812500000000001,0.6880733944954128,0.9036144578313253,0.45312500000000006,0.125,0.5350048844024747,37,83,"[[3, 34], [8, 75]]",0,5,symmetric_merged_cv_pooled
turkish,audio_text,qwen,cv,pooled,0.625,0.7305389221556886,0.7261904761904762,0.7349397590361446,0.5570502829956525,0.3835616438356164,0.6177140996418105,37,83,"[[14, 23], [22, 61]]",0,5,symmetric_merged_cv_pooled
turkish,audio_text,xgb_fixed,cv,pooled,0.6833333333333333,0.8061224489795918,0.6991150442477876,0.9518072289156626,0.4712430426716141,0.13636363636363638,0.6486486486486487,37,83,"[[3, 34], [4, 79]]",0,5,symmetric_merged_cv_pooled
turkish,audio_text,xgb_optuna,cv,pooled,0.6916666666666667,0.8102564102564103,0.7053571428571429,0.9518072289156626,0.49401709401709404,0.17777777777777778,0.6492999023119504,37,83,"[[4, 33], [4, 79]]",0,5,symmetric_merged_cv_pooled
androids_interview,audio_only,logreg,cv,pooled,0.8275862068965517,0.8275862068965517,0.9230769230769231,0.75,0.8275862068965517,0.8275862068965517,0.9371995192307693,52,64,"[[48, 4], [16, 48]]",0,5,symmetric_merged_cv_pooled
androids_interview,audio_only,qwen,cv,pooled,0.8620689655172413,0.8666666666666666,0.9285714285714286,0.8125,0.8619047619047618,0.8571428571428571,0.9086538461538461,52,64,"[[48, 4], [12, 52]]",0,5,symmetric_merged_cv_pooled
androids_interview,audio_only,xgb_fixed,cv,pooled,0.8879310344827587,0.8959999999999999,0.9180327868852459,0.875,0.887252336448598,0.8785046728971962,0.9522235576923077,52,64,"[[47, 5], [8, 56]]",0,5,symmetric_merged_cv_pooled
androids_interview,audio_only,xgb_optuna,cv,pooled,0.8706896551724138,0.8780487804878049,0.9152542372881356,0.84375,0.8702170507943612,0.8623853211009175,0.9519230769230769,52,64,"[[47, 5], [10, 54]]",0,5,symmetric_merged_cv_pooled
cmdc,audio_only,logreg,cv,pooled,0.9743589743589743,0.9600000000000001,1.0,0.9230769230769231,0.9705660377358492,0.9811320754716981,0.996301775147929,52,26,"[[52, 0], [2, 24]]",0,5,symmetric_merged_cv_pooled
cmdc,audio_only,qwen,cv,pooled,0.9615384615384616,0.9387755102040816,1.0,0.8846153846153846,0.9553690635132557,0.9719626168224299,0.996301775147929,52,26,"[[52, 0], [3, 23]]",0,5,symmetric_merged_cv_pooled
cmdc,audio_only,xgb_fixed,cv,pooled,0.9743589743589743,0.9600000000000001,1.0,0.9230769230769231,0.9705660377358492,0.9811320754716981,0.9955621301775148,52,26,"[[52, 0], [2, 24]]",0,5,symmetric_merged_cv_pooled
cmdc,audio_only,xgb_optuna,cv,pooled,0.9743589743589743,0.9600000000000001,1.0,0.9230769230769231,0.9705660377358492,0.9811320754716981,0.9955621301775148,52,26,"[[52, 0], [2, 24]]",0,5,symmetric_merged_cv_pooled
d3tec,audio_only,logreg,cv,pooled,0.532258064516129,0.4528301886792453,0.5,0.41379310344827586,0.5221897422269466,0.5915492957746479,0.58098223615465,33,29,"[[21, 12], [17, 12]]",0,5,symmetric_merged_cv_pooled
d3tec,audio_only,qwen,cv,pooled,0.6129032258064516,0.5714285714285714,0.5925925925925926,0.5517241379310345,0.6092436974789917,0.6470588235294118,0.587251828631139,33,29,"[[22, 11], [13, 16]]",0,5,symmetric_merged_cv_pooled
d3tec,audio_only,xgb_fixed,cv,pooled,0.5967741935483871,0.5454545454545454,0.5769230769230769,0.5172413793103449,0.5915678524374177,0.6376811594202899,0.6029258098223615,33,29,"[[22, 11], [14, 15]]",0,5,symmetric_merged_cv_pooled
d3tec,audio_only,xgb_optuna,cv,pooled,0.5967741935483871,0.5283018867924529,0.5833333333333334,0.4827586206896552,0.5880946053680574,0.6478873239436619,0.61337513061651,33,29,"[[23, 10], [15, 14]]",0,5,symmetric_merged_cv_pooled
daic,audio_only,logreg,cv,pooled,0.7746478873239436,0.5675675675675675,0.65625,0.5,0.7075933075933076,0.8476190476190476,0.7133333333333334,100,42,"[[89, 11], [21, 21]]",0,5,symmetric_merged_cv_pooled
daic,audio_only,qwen,cv,pooled,0.7464788732394366,0.5135135135135135,0.59375,0.4523809523809524,0.6710424710424711,0.8285714285714286,0.7053571428571429,100,42,"[[87, 13], [23, 19]]",0,5,symmetric_merged_cv_pooled
daic,audio_only,xgb_fixed,cv,pooled,0.7183098591549296,0.4594594594594595,0.53125,0.40476190476190477,0.6344916344916345,0.8095238095238095,0.7309523809523809,100,42,"[[85, 15], [25, 17]]",0,5,symmetric_merged_cv_pooled
daic,audio_only,xgb_optuna,cv,pooled,0.7394366197183099,0.4931506849315069,0.5806451612903226,0.42857142857142855,0.65889761734727,0.8246445497630331,0.6978571428571428,100,42,"[[87, 13], [24, 18]]",0,5,symmetric_merged_cv_pooled
turkish,audio_only,logreg,cv,pooled,0.6833333333333333,0.8041237113402062,0.7027027027027027,0.9397590361445783,0.48901837740923354,0.17391304347826086,0.6398567241940736,37,83,"[[4, 33], [5, 78]]",0,5,symmetric_merged_cv_pooled
turkish,audio_only,qwen,cv,pooled,0.7,0.8163265306122449,0.7079646017699115,0.963855421686747,0.4990723562152134,0.18181818181818182,0.6304135460761967,37,83,"[[4, 33], [3, 80]]",0,5,symmetric_merged_cv_pooled
turkish,audio_only,xgb_fixed,cv,pooled,0.6833333333333333,0.8061224489795918,0.6991150442477876,0.9518072289156626,0.4712430426716141,0.13636363636363638,0.6476717681536959,37,83,"[[3, 34], [4, 79]]",0,5,symmetric_merged_cv_pooled
turkish,audio_only,xgb_optuna,cv,pooled,0.6833333333333333,0.808080808080808,0.6956521739130435,0.963855421686747,0.4516594516594516,0.09523809523809523,0.6225985021165744,37,83,"[[2, 35], [3, 80]]",0,5,symmetric_merged_cv_pooled
androids_interview,text_only,logreg,cv,pooled,0.7931034482758621,0.7999999999999999,0.8571428571428571,0.75,0.7928571428571427,0.7857142857142856,0.86328125,52,64,"[[44, 8], [16, 48]]",0,5,symmetric_merged_cv_pooled
androids_interview,text_only,qwen,cv,pooled,0.7844827586206896,0.7933884297520661,0.8421052631578947,0.75,0.7840816022634205,0.7747747747747747,0.8461538461538461,52,64,"[[43, 9], [16, 48]]",0,5,symmetric_merged_cv_pooled
androids_interview,text_only,xgb_fixed,cv,pooled,0.7844827586206896,0.7967479674796748,0.8305084745762712,0.765625,0.7836950846572686,0.7706422018348624,0.8795072115384616,52,64,"[[42, 10], [15, 49]]",0,5,symmetric_merged_cv_pooled
androids_interview,text_only,xgb_optuna,cv,pooled,0.7844827586206896,0.7967479674796748,0.8305084745762712,0.765625,0.7836950846572686,0.7706422018348624,0.8677884615384616,52,64,"[[42, 10], [15, 49]]",0,5,symmetric_merged_cv_pooled
cmdc,text_only,logreg,cv,pooled,0.9743589743589743,0.9600000000000001,1.0,0.9230769230769231,0.9705660377358492,0.9811320754716981,0.9985207100591716,52,26,"[[52, 0], [2, 24]]",0,5,symmetric_merged_cv_pooled
cmdc,text_only,qwen,cv,pooled,0.9871794871794872,0.9803921568627451,1.0,0.9615384615384616,0.9854341736694678,0.9904761904761905,0.9644970414201184,52,26,"[[52, 0], [1, 25]]",0,5,symmetric_merged_cv_pooled
cmdc,text_only,xgb_fixed,cv,pooled,0.9743589743589743,0.9600000000000001,1.0,0.9230769230769231,0.9705660377358492,0.9811320754716981,0.9970414201183432,52,26,"[[52, 0], [2, 24]]",0,5,symmetric_merged_cv_pooled
cmdc,text_only,xgb_optuna,cv,pooled,0.9743589743589743,0.9600000000000001,1.0,0.9230769230769231,0.9705660377358492,0.9811320754716981,0.9977810650887574,52,26,"[[52, 0], [2, 24]]",0,5,symmetric_merged_cv_pooled
d3tec,text_only,logreg,cv,pooled,0.5,0.43636363636363634,0.46153846153846156,0.41379310344827586,0.49354413702239786,0.5507246376811594,0.5266457680250783,33,29,"[[19, 14], [17, 12]]",0,5,symmetric_merged_cv_pooled
d3tec,text_only,qwen,cv,pooled,0.532258064516129,0.4528301886792453,0.5,0.41379310344827586,0.5221897422269466,0.5915492957746479,0.5313479623824452,33,29,"[[21, 12], [17, 12]]",0,5,symmetric_merged_cv_pooled
d3tec,text_only,xgb_fixed,cv,pooled,0.5645161290322581,0.509090909090909,0.5384615384615384,0.4827586206896552,0.5588932806324111,0.6086956521739131,0.5663531870428422,33,29,"[[21, 12], [15, 14]]",0,5,symmetric_merged_cv_pooled
d3tec,text_only,xgb_optuna,cv,pooled,0.5645161290322581,0.5263157894736843,0.5357142857142857,0.5172413793103449,0.5616653574234093,0.5970149253731343,0.5632183908045977,33,29,"[[20, 13], [14, 15]]",0,5,symmetric_merged_cv_pooled
daic,text_only,logreg,cv,pooled,0.7676056338028169,0.5352112676056338,0.6551724137931034,0.4523809523809524,0.6901408450704225,0.8450704225352113,0.7514285714285714,100,42,"[[90, 10], [23, 19]]",0,5,symmetric_merged_cv_pooled
daic,text_only,qwen,cv,pooled,0.7183098591549296,0.4285714285714286,0.5357142857142857,0.35714285714285715,0.6208277703604806,0.8130841121495327,0.7264285714285714,100,42,"[[87, 13], [27, 15]]",0,5,symmetric_merged_cv_pooled
daic,text_only,xgb_fixed,cv,pooled,0.7535211267605634,0.5070422535211268,0.6206896551724138,0.42857142857142855,0.6713615023474178,0.8356807511737089,0.7557142857142857,100,42,"[[89, 11], [24, 18]]",0,5,symmetric_merged_cv_pooled
daic,text_only,xgb_optuna,cv,pooled,0.7605633802816901,0.5142857142857143,0.6428571428571429,0.42857142857142855,0.6777036048064085,0.8411214953271027,0.7402380952380953,100,42,"[[90, 10], [24, 18]]",0,5,symmetric_merged_cv_pooled
turkish,text_only,logreg,cv,pooled,0.6916666666666667,0.7784431137724551,0.7738095238095238,0.7831325301204819,0.635796899351981,0.4931506849315069,0.6750244220123738,37,83,"[[18, 19], [18, 65]]",0,5,symmetric_merged_cv_pooled
turkish,text_only,qwen,cv,pooled,0.6166666666666667,0.7125,0.7402597402597403,0.6867469879518072,0.56875,0.425,0.635786388798437,37,83,"[[17, 20], [26, 57]]",0,5,symmetric_merged_cv_pooled
turkish,text_only,xgb_fixed,cv,pooled,0.675,0.7636363636363638,0.7682926829268293,0.7590361445783133,0.6218181818181818,0.4799999999999999,0.6675350048844024,37,83,"[[18, 19], [20, 63]]",0,5,symmetric_merged_cv_pooled
turkish,text_only,xgb_optuna,cv,pooled,0.675,0.7636363636363638,0.7682926829268293,0.7590361445783133,0.6218181818181818,0.4799999999999999,0.6567893194399218,37,83,"[[18, 19], [20, 63]]",0,5,symmetric_merged_cv_pooled
five_dataset_mean,audio_only,logreg,cv,aggregate,,,,,0.7033907343723778,,,,,,0,5,symmetric_merged_cv_pooled
worst_dataset,audio_only,logreg,cv,aggregate,,,,,0.48901837740923354,,,,,,0,5,symmetric_merged_cv_pooled
five_dataset_mean,audio_only,qwen,cv,aggregate,,,,,0.7193264700309387,,,,,,0,5,symmetric_merged_cv_pooled
worst_dataset,audio_only,qwen,cv,aggregate,,,,,0.4990723562152134,,,,,,0,5,symmetric_merged_cv_pooled
five_dataset_mean,audio_only,xgb_fixed,cv,aggregate,,,,,0.7110241807570227,,,,,,0,5,symmetric_merged_cv_pooled
worst_dataset,audio_only,xgb_fixed,cv,aggregate,,,,,0.4712430426716141,,,,,,0,5,symmetric_merged_cv_pooled
five_dataset_mean,audio_only,xgb_optuna,cv,aggregate,,,,,0.7078869525809979,,,,,,0,5,symmetric_merged_cv_pooled
worst_dataset,audio_only,xgb_optuna,cv,aggregate,,,,,0.4516594516594516,,,,,,0,5,symmetric_merged_cv_pooled
five_dataset_mean,audio_text,logreg,cv,aggregate,,,,,0.7024244911235655,,,,,,0,5,symmetric_merged_cv_pooled
worst_dataset,audio_text,logreg,cv,aggregate,,,,,0.45312500000000006,,,,,,0,5,symmetric_merged_cv_pooled
five_dataset_mean,audio_text,qwen,cv,aggregate,,,,,0.7038053637283059,,,,,,0,5,symmetric_merged_cv_pooled
worst_dataset,audio_text,qwen,cv,aggregate,,,,,0.5570502829956525,,,,,,0,5,symmetric_merged_cv_pooled
five_dataset_mean,audio_text,xgb_fixed,cv,aggregate,,,,,0.7360291341289878,,,,,,0,5,symmetric_merged_cv_pooled
worst_dataset,audio_text,xgb_fixed,cv,aggregate,,,,,0.4712430426716141,,,,,,0,5,symmetric_merged_cv_pooled
five_dataset_mean,audio_text,xgb_optuna,cv,aggregate,,,,,0.7254079246743852,,,,,,0,5,symmetric_merged_cv_pooled
worst_dataset,audio_text,xgb_optuna,cv,aggregate,,,,,0.49401709401709404,,,,,,0,5,symmetric_merged_cv_pooled
five_dataset_mean,text_only,logreg,cv,aggregate,,,,,0.7165810124075587,,,,,,0,5,symmetric_merged_cv_pooled
worst_dataset,text_only,logreg,cv,aggregate,,,,,0.49354413702239786,,,,,,0,5,symmetric_merged_cv_pooled
five_dataset_mean,text_only,qwen,cv,aggregate,,,,,0.6962566577040631,,,,,,0,5,symmetric_merged_cv_pooled
worst_dataset,text_only,qwen,cv,aggregate,,,,,0.5221897422269466,,,,,,0,5,symmetric_merged_cv_pooled
five_dataset_mean,text_only,xgb_fixed,cv,aggregate,,,,,0.7212668174382256,,,,,,0,5,symmetric_merged_cv_pooled
worst_dataset,text_only,xgb_fixed,cv,aggregate,,,,,0.5588932806324111,,,,,,0,5,symmetric_merged_cv_pooled
five_dataset_mean,text_only,xgb_optuna,cv,aggregate,,,,,0.7230896532882235,,,,,,0,5,symmetric_merged_cv_pooled
worst_dataset,text_only,xgb_optuna,cv,aggregate,,,,,0.5616653574234093,,,,,,0,5,symmetric_merged_cv_pooled
